اشکبار	'aSkbAr
هپاتیت	hepAtit
نکته‌سنج	noktesanj
مردم‌سالار	mardomsAlAr
معطلی	mo'attali
انتفاع	'entefA'
ضایعه	zAye'e
نگاشته	negASte
طنین	tanin
دیابتی	diyAbeti
بدگویی	badguyi
حشره	haSare
صائبی	sA'ebi
آتاکسی	'AtAksi
انعطاف‌پذیر	'en'etAfpazir
سرآغاز	sarAqAz
برودری	borodri
هر‌روز	harruz
گیل	gil
گندمی	gandomi
چوبی	Cubi
دورو	doru
شگون	Sugun
مرکبان	morakkabAn
طلاکوب	talAkub
نشاط‌انگیز	neSAtangiz
آوینیون	'Aviniyon
فنیل	fenil
ظروفچی	zorufCi
انحاء	'anhA'
پرولتاریا	poroltAryA
متاس‌تاز	metAstAz
آموزش‌پذیری	'AmuzeSpaziri
اتصاف	'ettesAf
اشتراکی‌سازی	'eSterAkisAzi
سود‌‌رسانی	sudresAni
فلدسپار	feldespAr
عناصر	'anAsor
شتا	SatA
سیمان	simAn
نسناس	nasnAs
شفق	Safaq
تشعشع	taSa'So'
الکترود	'elekterod
گرمایی	garmAyi
پشتو	paStu
واکنش‌سازی	vAkoneSsAzi
صندل	sandal
بی‌پروا	biparvA
الله‌و‌‌ردیخان	'allAhverdixAn
حیرت‌زده	heyratzade
یخزار	yaxzAr
گوشت‌خواران	guStxArAn
خنگی	xengi
اکسپرسیونیستی	'ekspersiyonisti
کدیور	kadivar
دستکاری	dastkAri
وج	vaj
آده	'Ade
راحت‌افزا	rAhatafzA
صفدر	safdar
محاذات	mohAzAt
لبنانی	lobnAni
مواج	mavvAj
برآورده	barAvarde
نجا‌ت‌اللهی	nejAtollAhi
الهی‌قمشه‌ای	'elAhiyeqomSe'i
بی‌پروایی	biparvAyi
افریقایی	'efriqAyi
ذوق‌زده	zowqzade
بین‌کهکشانی	beynekahkeSAni
آفتومات	'AftomAt
برنهاد	barnahAd
توپدار	tupdAr
مبدل	mobaddal
رگبندی	ragbandi
انفجاری	'enfejAri
معتضد	mo'tazed
زحمت	zahmat
وزوز	vezvez
خوکها	xukhA
پیشاهنگ	piSAhang
بی‌هوا	bihavA
سانتریول	sAntriyol
امیدبخشی	'omidbaxSi
تزویج	tazvij
حجم‌سازی	hajmsAzi
جایز	jAyez
شاهین‌‌ویلا	SAhinvilA
جای	jAy
لایه‌ای	lAye'i
شیشه‌ای	SiSe'i
متکا	motakkA
مهام	mahAmm
چند‌حلقه‌ای	Candhalqe'i
خانباجی	xAnbAji
دگم	dogm
اندوهباری	'anduhbAri
آلبرکامو	'AlberkAmo
دوبلور	dublor
والامقام	vAlAmaqAm
آدینه	'Adine
بهینه‌سازی	behinesAzi
فیروزبخت	firuzbaxS
نیترید	nitrid
آگهی	'Agahi
پرآشوب	por'ASub
پرت	part
بشکاف	beSkAf
فالگوش‌‌نشینی	fAlguSneSini
دربرگیری	darbargiri
سوق‌‌الجیشی	sowqoljeySi
کنجدخوار	konjedxAr
خشایارشا	xaSAyArSA
خودفروخته	xodfuruxte
ظ	zA
معاهدات	mo'AhedAt
ترکیبی	tarkibi
گرگین	gorgin
تک‌ستاره	taksetAre
قریه	qariye
تنبلی	tanbali
دیرین‌شناس	dirinSenAs
تتمیم	tatmim
یخ‌سازی	yaxsAzi
پیچید	piCid
امیدبخش	'omidbaxS
نفوذ‌ناپذیر	nofuznApazir
ستم	setam
ولایت‌عهدی	velAyat'ahdi
دیوسالار	divsAlAr
سوداگر	sowdAgar
بروت	burut
مقراض	meqrAz
مجتمع	mojtama'
آخر	'Axar
لغو	laqv
شمشیری	SamSiri
خاضعانه	xAze'Ane
واحات	vAhAt
تایپی	tAypi
مدل	model
اج	'oj
اعضا	'a'zA
قدسیت	qodsiyyat
ماژور	mAZor
